        1000	
    1400.55	
(  5.03)
        2000	
           6	
N
     270.60	
S
     655.09	
(  2.42)	
N
     308.21	
S
    1546.80	
(  5.02)
        4000	
           6	
N
     273.95	
S
     866.74	
(  3.16)	
N
     321.05	
S
    1682.80	
(  5.24)
        8000	
           6	
N
     294.55	
S
     991.33	
(  3.37)	
N
     321.04	
S
    1569.24	
(  4.89)
       16000	
           6	
N
     195.42	
S
     905.69	
(  4.63)	
N
     210.46	
S
    1067.38	
(  5.07)
       32000	
           6	
N
     266.97	
S
    1098.22	
(  4.11)	
N
     321.36	
S
    1574.18	
(  4.90)
       64000	
           6	
N
     293.25	
S
    1257.47	
(  4.29)	
N
     321.31	
S
    1589.83	
(  4.95)
      128000	
           6	
N
     296.80	
S
    1074.26	
(  3.62)	
N
     331.27	
S
    1636.35	
(  4.94)
      256000	
           6	
N
     265.62	
S
    1364.17	
(  5.14)	
N
     300.20	
S
    1583.27	
(  5.27)
      512000	
           6	
N
     262.37	
S
    1221.65	
(  4.66)	
N
     287.39	
S
    1428.16	
(  4.97)
     1024000	
           6	
N
     281.35	
S
    1296.33	
(  4.61)	
N
     287.04	
S
    1502.61	
(  5.23)
     2048000	
           6	
N
     273.91	
S
    1100.81	
(  4.02)	
N
     280.56	
S
    1438.80	
(  5.13)
     4096000	
           6	
N
     261.61	
S
     849.25	
(  3.25)	
N
     285.17	
S
    1434.38	
(  5.03)
     8000000	
           6	
N
     258.71	
S
     832.69	
(  3.22)	
N
     284.02	
S
    1351.78	
(  4.76)
        1000	
           8	
N
     187.02	
S
     645.16	
(  3.45)	
N
     283.77	
S
    1084.60	
(  3.82)
        2000	
           8	
N
     256.11	
S
     590.67	
(  2.31)	
N
     287.11	
S
    1315.80	
(  4.58)
        4000	
           8	
N
     266.56	
S
     854.88	
(  3.21)	
N
     287.73	
S
    1459.32	
(  5.07)
        8000	
           8	
N
     265.69	
S
    1046.44	
(  3.94)	
N
     287.93	
S
    1456.93	
(  5.06)
       16000	
           8	
N
     264.73	
S
    1155.23	
(  4.36)	
N
     288.07	
S
    1463.86	
(  5.08)
       32000	
           8	
N
     266.12	
S
    1003.23	
(  3.77)	
N
     288.06	
S
    1464.00	
(  5.08)
       64000	
           8	
N
     266.94	
S
    1299.02	
(  4.87)	
N
     288.13	
S
    1464.26	
(  5.08)
      128000	
           8	
N
     273.55	
S
    1163.92	
(  4.25)	
N
     310.25	
S
    1569.97	
(  5.06)
      256000	
           8	
N
     271.95	
S
    1048.70	
(  3.86)	
N
     303.51	
S
    1462.77	
(  4.82)
      512000	
           8	
N
     263.22	
S
    1369.90	
(  5.20)	
N
     287.49	
S
    1455.48	
(  5.06)
     1024000	
           8	
N
     265.27	
S
    1345.61	
(  5.07)	
N
     286.08	
S
    1457.19	
(  5.09)
     2048000	
           8	
N
     262.13	
S
     889.23	
(  3.39)	
N
     286.57	
S
    1435.92	
(  5.01)
     4096000	
           8	
N
     257.40	
S
     838.52	
(  3.26)	
N
     285.23	
S
    1351.51	
(  4.74)
     8000000	
           8	
N
     258.15	
S
     769.76	
(  2.98)	
N
     286.37	
S
    1419.89	
(  4.96)
